2426343, -0.281751812, -0.163503647, -0.081751823
2426870, -0.281751812, -0.163503647, -0.081751823
2427397, -0.281751812, -0.163503647, -0.081751823
2427924, -0.281751812, -0.163503647, -0.081751823
2428451, -0.281751812, -0.163503647, -0.081751823
2428978, -0.281751812, -0.163503647, -0.081751823
2429505, -0.281751812, -0.163503647, -0.081751823
2430032, -0.281751812, -0.163503647, -0.081751823
2430559, -0.281751812, -0.164233580, -0.073722631
2431087, -0.281751812, -0.164233580, -0.073722631
2431614, -0.281751812, -0.164233580, -0.073722631
2432141, -0.281751812, -0.164233580, -0.073722631
2432668, -0.281751812, -0.164233580, -0.073722631
2433196, -0.281751812, -0.164233580, -0.073722631
2433723, -0.281751812, -0.164233580, -0.073722631
2434250, -0.281751812, -0.164233580, -0.073722631
2434777, -0.279562056, -0.162773728, -0.082481749
2435312, -0.279562056, -0.162773728, -0.082481749
2435838, -0.279562056, -0.162773728, -0.082481749
2436365, -0.279562056, -0.162773728, -0.082481749
2436892, -0.279562056, -0.162773728, -0.082481749
2437419, -0.279562056, -0.162773728, -0.082481749
2437949, -0.279562056, -0.162773728, -0.082481749
2438476, -0.279562056, -0.162773728, -0.082481749
2439003, -0.278102189, -0.161313862, -0.084671535
2439530, -0.278102189, -0.161313862, -0.084671535
2440064, -0.278102189, -0.161313862, -0.084671535
2440591, -0.278102189, -0.161313862, -0.084671535
2441124, -0.278102189, -0.161313862, -0.084671535
2441651, -0.278102189, -0.161313862, -0.084671535
2442185, -0.278102189, -0.161313862, -0.084671535
2442711, -0.278102189, -0.161313862, -0.084671535
2443242, -0.281751812, -0.162773728, -0.081021897
2443768, -0.281751812, -0.162773728, -0.081021897
2444298, -0.281751812, -0.162773728, -0.081021897
2444825, -0.281751812, -0.162773728, -0.081021897
2445352, -0.281751812, -0.162773728, -0.081021897
2445879, -0.281751812, -0.162773728, -0.081021897
2446406, -0.281751812, -0.162773728, -0.081021897
2446933, -0.281751812, -0.162773728, -0.081021897
2447460, -0.283211678, -0.164233580, -0.078832120
2447987, -0.283211678, -0.164233580, -0.078832120
2448514, -0.283211678, -0.164233580, -0.078832120
2449041, -0.283211678, -0.164233580, -0.078832120
2449569, -0.283211678, -0.164233580, -0.078832120
2450096, -0.283211678, -0.164233580, -0.078832120
2450623, -0.283211678, -0.164233580, -0.078832120
2451150, -0.283211678, -0.164233580, -0.078832120
