AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MPUTempC,BaroTempC,PressurePa,RelAltM,Us
76,-86,2134,-166,13,-35,38.548,35.900,100623,-940.37,482
68,-91,2130,-172,20,-31,38.527,35.900,100623,-940.37,477
69,-83,2142,-166,17,-33,38.565,35.900,100623,-940.37,473
83,-68,2112,-171,20,-37,38.586,35.900,100626,-940.63,11177
74,-74,2123,-170,19,-34,38.548,35.900,100626,-940.63,505
83,-73,2133,-168,13,-39,38.548,35.900,100626,-940.63,484
69,-79,2155,-170,23,-31,38.515,35.900,100626,-940.63,477
84,-71,2137,-168,16,-32,38.571,35.900,100626,-940.63,473
92,-76,2145,-165,16,-33,38.559,35.900,100620,-940.12,11173
92,-65,2109,-167,15,-32,38.562,35.900,100620,-940.12,505
73,-70,2123,-166,17,-32,38.548,35.900,100620,-940.12,483
70,-70,2102,-168,12,-33,38.533,35.900,100620,-940.12,477
80,-76,2134,-176,30,-30,38.586,35.900,100620,-940.12,473
77,-75,2119,-164,9,-33,38.539,35.900,100629,-940.88,11176
72,-79,2137,-172,22,-34,38.548,35.900,100629,-940.88,519
68,-86,2128,-165,10,-28,38.548,35.900,100629,-940.88,484
78,-85,2118,-174,28,-31,38.559,35.900,100629,-940.88,477
77,-93,2130,-170,15,-30,38.574,35.900,100629,-940.88,473
79,-86,2143,-173,25,-31,38.574,35.900,100629,-940.88,11173
83,-70,2139,-167,13,-29,38.533,35.900,100629,-940.88,516
92,-84,2129,-172,20,-31,38.583,35.900,100629,-940.88,483
64,-87,2126,-168,14,-32,38.545,35.900,100629,-940.88,477
69,-76,2125,-170,21,-32,38.562,35.900,100629,-940.88,473
65,-78,2124,-169,16,-31,38.568,35.900,100626,-940.63,11177
80,-72,2132,-170,23,-27,38.571,35.900,100626,-940.63,502
74,-80,2136,-168,20,-28,38.545,35.900,100626,-940.63,484
75,-82,2148,-170,22,-31,38.536,35.900,100626,-940.63,477
60,-79,2118,-170,20,-29,38.595,35.900,100626,-940.63,473
73,-82,2104,-170,21,-31,38.556,35.900,100626,-940.63,11172
81,-69,2131,-169,13,-30,38.536,35.900,100626,-940.63,498
94,-76,2138,-172,19,-27,38.545,35.900,100626,-940.63,483
82,-77,2138,-165,15,-35,38.571,35.900,100626,-940.63,477
86,-85,2139,-168,18,-32,38.586,35.900,100626,-940.63,473
77,-75,2151,-165,17,-34,38.565,35.900,100632,-941.14,11177
79,-70,2131,-172,21,-29,38.571,35.900,100632,-941.14,517
76,-78,2133,-165,17,-32,38.586,35.900,100632,-941.14,484
84,-66,2113,-166,19,-32,38.592,35.900,100632,-941.14,477
60,-78,2122,-171,20,-32,38.574,35.900,100632,-941.14,473
88,-80,2123,-167,16,-30,38.586,35.900,100629,-940.88,11173
