3.431,415.694672,-50.106869,33.038166,0.774414,0.159668,0.75708,0.208759,0.166423,-0.205839
11.400,460.519073,-51.450382,35.67939,0.759277,0.172607,0.715576,0.207299,0.154015,-0.208029
14.602,500.259552,-49.526718,40.137405,0.782715,0.246582,0.639648,0.207299,0.144526,-0.210219
17.363,500.259552,-55.832062,43.35878,0.758545,0.236084,0.745117,0.205109,0.132847,-0.213869
25.753,500.259552,-54.015266,49.129772,0.817871,0.334229,0.669678,0.207299,0.115328,-0.216058
31.090,500.259552,-60.870228,55.419846,0.740967,0.41626,0.717773,0.207299,0.10292,-0.218248
33.848,500.259552,-63.633587,65.343513,0.798584,0.506592,0.666504,0.20365,0.086131,-0.221168
38.254,500.259552,-70.702293,79.343513,0.764648,0.618164,0.708496,0.20219,0.068613,-0.221168
46.452,500.259552,-75.984734,93.465652,0.808594,0.665527,0.636719,0.20219,0.048175,-0.222628
48.538,500.259552,-81.618324,109.465652,0.820801,0.720947,0.613281,0.19781,0.026277,-0.220438
52.129,500.259552,-85.35878,125.541985,0.867432,0.762451,0.53418,0.19562,0.005839,-0.222628
60.258,500.259552,-86.412216,141.450378,0.876465,0.777344,0.478516,0.19635,-0.013139,-0.218978
64.010,500.259552,-85.450378,156.244278,0.903076,0.764404,0.385742,0.191971,-0.035766,-0.214599
66.850,500.259552,-82.992363,167.70993,0.913086,0.69043,0.328369,0.188321,-0.056934,-0.209489
72.554,500.259552,-82.595421,177.679382,0.938232,0.66626,0.289551,0.185401,-0.077372,-0.20365
77.876,500.259552,-78.96183,185.541992,0.958984,0.61084,0.208496,0.181022,-0.094891,-0.19854
82.421,500.259552,-73.801529,190.274811,0.947021,0.527832,0.150391,0.175912,-0.115328,-0.187591
87.461,500.259552,-68.671753,193.877869,0.942383,0.487793,0.113525,0.172263,-0.135036,-0.177372
95.653,500.259552,-62.916031,198.030533,0.957275,0.445557,0.064697,0.168613,-0.150365,-0.169343
97.437,500.259552,-55.862595,203.893127,0.937256,0.449707,0.032715,0.164234,-0.167883,-0.159124
101.961,500.259552,-49.847328,206.198471,0.940186,0.343262,-0.024414,0.158394,-0.184672,-0.145985
109.067,500.259552,-37.541985,195.862595,0.942627,0.099609,-0.076416,0.154015,-0.19927,-0.129927
113.622,500.259552,-20.931297,181.70993,0.901611,0.040283,-0.083008,0.151095,-0.214599,-0.118248
117.323,500.259552,-11.435115,175.938934,0.820801,0.162354,-0.077393,0.144526,-0.227007,-0.09927
