"Reference","Qty","Value","Footprint","Description"
"J1","1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://chipn24.com/dau-usb-type-c-v1-16p-usb-3-1-truyen-tai-hd-16p-han-board-co-4-chan-dau-jack-usb-han-board-id6292.html"
"U1","1","","RF_Module:ESP32-S3-WROOM-1","https://hshop.vn/mach-thu-phat-wifi-ble-soc-esp32-s3-esp32-s3-wroom-1-chinh-hang-espressif"
